code ;presence
5738b;no
5839c;yes
5839a;no
5739c;no
5739a;yes
5939b;no
5839d;no
5839b;no
5940c;no
5940a;no
5840c;no
5840a;no
5740c;no
5740a;no
6240d;no
6240b;no
5940d;no
5940b;no
5840d;no
5840b;no
5740d;no
5740b;no
5640d;no
6341a;no
6241c;no
6241a;no
6141c;no
6141a;yes
6041c;no
6041a;no
5941c;no
5941a;no
5841c;yes
5841a;no
5741c;yes
5741a;no
5641c;no
5641a;yes
6441b;no
6341d;no
6341b;no
6241d;no
6241b;no
6141d;no
6141b;no
6041d;no
6041b;no
5941d;yes
5941b;no
5841d;no
5841b;no
5741d;yes
5741b;no
5641d;no
5641b;no
6542c;yes
6542a;no
6442c;no
6442a;no
6342c;no
6342a;no
6242c;no
6242a;no
6142c;no
6142a;yes
6042c;no
6042a;no
5942c;yes
5942a;no
5842c;yes
5842a;yes
5742c;no
5742a;no
5642c;yes
5642a;no
6642b;no
6542d;no
6542b;no
6442d;no
6442b;no
6342d;no
6342b;no
6242d;no
6242b;no
6142d;no
6142b;no
6042d;no
6042b;no
5942d;yes
5942b;yes
5842d;no
5842b;yes
5742d;yes
5742b;no
5642d;no
5642b;yes
5542d;no
6643a;no
6543c;no
6543a;no
6443c;no
6443a;no
6343c;no
6343a;yes
6243c;no
6243a;yes
6143c;yes
6143a;no
6043c;no
6043a;no
5943c;yes
5943a;yes
5843c;yes
5843a;yes
5743c;yes
5743a;no
5643c;yes
5643a;yes
5543c;yes
6643b;no
6543d;no
6543b;no
6443d;yes
6443b;no
6343d;no
6343b;yes
6243d;yes
6243b;no
6143d;no
6143b;yes
6043d;no
6043b;no
5943d;no
5943b;no
5843d;yes
5843b;no
5743d;yes
5743b;yes
5643d;yes
5643b;no
6744a;no
6644c;no
6644a;no
6544c;yes
6544a;yes
6444c;no
6444a;no
6344c;no
6344a;yes
6244c;no
6244a;no
6144c;no
6144a;yes
6044c;no
6044a;no
5944c;no
5944a;no
5844c;no
5844a;yes
5744c;yes
5744a;yes
5644c;yes
5644a;yes
5544c;no
5544a;no
6744d;no
6744b;no
6644d;no
6644b;no
6544d;no
6544b;yes
6444d;no
6444b;yes
6344d;yes
6344b;no
6244d;no
6244b;yes
6144d;no
6144b;no
6044d;no
6044b;yes
5944d;no
5944b;no
5844d;no
5844b;no
5744d;yes
5744b;yes
5644d;yes
5644b;yes
5544d;yes
5544b;no
6845a;yes
6745c;yes
6745a;yes
6645c;no
6645a;no
6545c;yes
6545a;yes
6445c;yes
6445a;yes
6345c;yes
6345a;no
6245c;no
6245a;no
6145c;no
6145a;no
6045c;no
6045a;yes
5945c;yes
5945a;yes
5845c;no
5845a;yes
5745c;yes
5745a;yes
5645c;yes
5645a;yes
5545c;yes
5545a;no
5445c;no
6845d;no
6845b;no
6745d;no
6745b;no
6645d;no
6645b;no
6545d;yes
6545b;yes
6445d;no
6445b;no
6345d;no
6345b;no
6245d;no
6245b;no
6145d;no
6145b;no
6045d;no
6045b;no
5945d;yes
5945b;yes
5845d;yes
5845b;yes
5745d;yes
5745b;yes
5645d;yes
5645b;no
5545d;yes
5545b;yes
5445d;no
5445b;no
6946a;no
6846c;yes
6846a;no
6746c;no
6746a;no
6646c;no
6646a;no
6546c;no
6546a;yes
6446c;no
6446a;no
6346c;yes
6346a;yes
6246c;no
6246a;yes
6146c;no
6146a;no
6046c;yes
6046a;no
5946c;no
5946a;yes
5846c;no
5846a;no
5746c;yes
5746a;yes
5646c;no
5646a;yes
5546c;no
5546a;yes
5446c;yes
5446a;no
5346c;no
7046b;no
6946d;no
6946b;yes
6846d;yes
6846b;yes
6746d;yes
6746b;yes
6646d;no
6646b;yes
6546d;no
6546b;no
6446d;no
6446b;no
6346d;no
6346b;yes
6246d;no
6246b;yes
6146d;no
6146b;yes
6046d;yes
6046b;no
5946d;no
5946b;no
5846d;yes
5846b;no
5746d;no
5746b;no
5646d;no
5646b;no
5546d;no
5546b;yes
5446d;yes
5446b;no
7047a;no
6947c;no
6947a;yes
6847c;yes
6847a;yes
6747c;yes
6747a;yes
6647c;no
6647a;no
6547c;no
6547a;no
6447c;yes
6447a;yes
6347c;yes
6347a;yes
6247c;no
6247a;yes
6147c;yes
6147a;no
6047c;yes
6047a;no
5947c;no
5947a;no
5847c;no
5847a;no
5747c;no
5747a;yes
5647c;no
5647a;no
5547c;no
5547a;no
5447c;no
5447a;no
5347c;yes
5347a;no
7047b;yes
6947d;no
6947b;no
6847d;yes
6847b;no
6747d;yes
6747b;yes
6647d;yes
6647b;no
6547d;no
6547b;no
6447d;no
6447b;yes
6347d;yes
6347b;yes
6247d;yes
6247b;no
6147d;no
6147b;no
6047d;yes
6047b;no
5947d;no
5947b;yes
5847d;no
5847b;no
5747d;yes
5747b;yes
5647d;yes
5647b;no
5547d;no
5547b;no
5447d;no
5447b;no
5347d;yes
5347b;yes
7048c;no
7048a;yes
6948c;yes
6948a;no
6848c;no
6848a;no
6748c;no
6748a;yes
6648c;yes
6648a;no
6548c;yes
6548a;no
6448c;no
6448a;yes
6348c;yes
6348a;no
6248c;yes
6248a;yes
6148c;no
6148a;no
6048c;yes
6048a;yes
5948c;no
5948a;no
5848c;no
5848a;no
5748c;yes
5748a;yes
5648c;no
5648a;no
5548c;no
5548a;yes
5448c;yes
5448a;no
5348c;yes
5348a;yes
5248c;no
7148d;no
7148b;no
7048d;yes
7048b;yes
6948d;no
6948b;yes
6848d;yes
6848b;no
6748d;no
6748b;yes
6648d;no
6648b;no
6548d;yes
6548b;yes
6448d;yes
6448b;yes
6348d;no
6348b;no
6248d;no
6248b;no
6148d;no
6148b;yes
6048d;yes
6048b;yes
5948d;yes
5948b;yes
5848d;no
