code;Obdobi;Shannon_index 
6957d;1850;1.145679007
6957b;1850;1.202289274
6857d;1850;1.238034591
6857b;1850;1.172891349
6757d;1850;1.23301514
6757b;1850;1.169240604
6657d;1850;1.216267841
6657b;1850;1.211332006
6557d;1850;1.164875735
6557b;1850;1.127281834
6457d;1850;1.1201018
6457b;1850;1.051303925
6357d;1850;1.149290738
6958c;1850;0.947805143
6958a;1850;1.054629195
6858c;1850;1.172711149
6858a;1850;1.253343897
6758c;1850;1.01437036
6758a;1850;1.071735253
6658c;1850;1.017141337
6658a;1850;1.18251984
6558c;1850;1.084610556
6558a;1850;1.212380498
6458c;1850;1.211106144
6458a;1850;1.156179034
6358c;1850;1.168698637
7058b;1850;1.104348059
6958d;1850;1.082943086
6958b;1850;1.043175608
6858d;1850;0.958358001
6858b;1850;0.90739825
6758d;1850;1.087767759
6758b;1850;1.198318205
6658d;1850;1.002358886
6658b;1850;1.169130571
6558d;1850;1.178626599
6558b;1850;1.149769094
6458d;1850;1.144090048
6458b;1850;1.220213386
6358d;1850;1.183675252
7059c;1850;0.488735332
7059a;1850;0.738530282
6959c;1850;0.873787577
6959a;1850;1.013211124
6859c;1850;1.127264788
6859a;1850;1.139706148
6759c;1850;1.119758053
6759a;1850;1.141658173
6659c;1850;1.013164807
6659a;1850;1.173930168
6559c;1850;1.11609926
6559a;1850;0.891529604
6459c;1850;1.082657127
6459a;1850;1.061116014
6359c;1850;1.094733336
7059d;1850;0.975035181
7059b;1850;0.992133948
6959d;1850;0.903198838
6959b;1850;1.100112194
6859d;1850;1.069638447
6859b;1850;1.025599242
6759d;1850;1.171037755
6759b;1850;1.114080822
6659d;1850;1.066861642
6659b;1850;1.066118043
6559d;1850;1.193696209
6559b;1850;1.151756674
6459d;1850;1.171686268
6459b;1850;1.102047911
6359d;1850;1.147763147
7160a;1850;0.811266832
7060c;1850;1.008341813
7060a;1850;1.000912023
6960c;1850;1.020448269
6960a;1850;1.032394976
6860c;1850;1.168328771
6860a;1850;1.096540717
6760c;1850;1.063204594
6760a;1850;1.15268517
6660c;1850;1.045834499
6660a;1850;0.923031637
6560c;1850;1.048462154
6560a;1850;1.058915345
6460c;1850;1.062773789
6460a;1850;1.132331776
6360c;1850;1.010296519
7160b;1850;1.052076406
7060d;1850;0.98133828
7060b;1850;0.965471405
6960d;1850;0.778733965
6960b;1850;0.909120651
6860d;1850;1.05739199
6860b;1850;1.040016181
6760d;1850;0.967831248
6760b;1850;0.990777722
6660d;1850;1.077393444
6660b;1850;1.026971726
6560d;1850;1.074742954
6560b;1850;1.12119347
6460d;1850;1.04352335
6460b;1850;0.918114411
6360d;1850;1.119106774
7161a;1850;1.041754399
7061c;1850;1.058399598
7061a;1850;1.018334893
6961c;1850;0.910717756
6961a;1850;0.845189204
6861c;1850;0.696830076
6861a;1850;0.968478139
6761c;1850;1.071193089
6761a;1850;1.143120436
6661c;1850;1.136495105
6661a;1850;1.021002265
6561c;1850;1.066728367
6561a;1850;1.272935737
6461c;1850;1.27567802
6461a;1850;1.147146964
6361c;1850;1.02153042
7161d;1850;1.096744267
7161b;1850;0.75033983
7061d;1850;1.016474124
7061b;1850;1.099273076
6961d;1850;0.76225468
6961b;1850;0.943538301
6861d;1850;1.065812042
6861b;1850;0.891241949
6761d;1850;1.100830921
6761b;1850;1.089011954
6661d;1850;1.121278701
6661b;1850;0.898509298
6561d;1850;1.157036205
6561b;1850;1.159641682
6461d;1850;1.151468482
6461b;1850;1.103632241
6361d;1850;1.187929157
7262a;1850;0.804270093
7162c;1850;1.408459067
7162a;1850;1.085867861
7062c;1850;1.048446378
7062a;1850;0.957204733
6962c;1850;0.959356265
6962a;1850;0.946962327
6862c;1850;0.947608661
6862a;1850;0.940641239
6762c;1850;1.054515856
6762a;1850;0.981592015
6662c;1850;1.042124806
6662a;1850;1.006182084
6562c;1850;1.112992519
6562a;1850;1.145312462
6462c;1850;1.070705191
6462a;1850;1.155361523
6362c;1850;1.058110907
7262b;1850;0.585248276
7162d;1850;1.182776762
7162b;1850;1.07186347
7062d;1850;1.045240694
7062b;1850;0.989456375
6962d;1850;0.936083203
6962b;1850;0.897931341
6862d;1850;0.873619924
6862b;1850;0.992379352
6762d;1850;1.108864188
6762b;1850;0.953538543
6662d;1850;0.997675832
6662b;1850;1.12825429
6562d;1850;1.156140877
6562b;1850;1.020466053
6462d;1850;1.086101596
6462b;1850;1.148474425
6362d;1850;1.162533537
7263a;1850;0.754311981
7163c;1850;0.524787088
7163a;1850;0.763929211
7063c;1850;0.701944879
7063a;1850;0.709547998
6963c;1850;0.965034518
6963a;1850;0.896191091
6863c;1850;1.046686955
6863a;1850;0.990008857
6763c;1850;1.079520242
6763a;1850;1.013599027
6663c;1850;1.062906797
6663a;1850;1.072353505
6563c;1850;1.133562397
6563a;1850;0.976834142
6463c;1850;0.979298334
6463a;1850;1.128832374
6363c;1850;1.154733066
7263b;1850;0.85777534
7163d;1850;0.786102743
7163b;1850;0.752029818
7063d;1850;0.756483117
7063b;1850;1.000586617
6963d;1850;0.739934627
6963b;1850;0.932277855
6863d;1850;1.104197402
6863b;1850;1.005084188
6763d;1850;0.975252262
6763b;1850;0.837191781
6663d;1850;1.071516222
6663b;1850;1.132554912
6563d;1850;1.08640344
6563b;1850;1.140565814
6463d;1850;1.129728992
6463b;1850;1.147687041
6363d;1850;1.108952101
7264a;1850;0.635224367
7164c;1850;1.001446754
7164a;1850;0.624269439
7064c;1850;0.442735514
7064a;1850;0.625718061
6964c;1850;1.073077809
6964a;1850;1.07225165
6864c;1850;1.243995019
6864a;1850;1.113057093
6764c;1850;1.059912368
6764a;1850;1.015171101
6664c;1850;0.989113103
6664a;1850;1.147767081
6564c;1850;1.178080499
6564a;1850;1.020113248
6464c;1850;1.169382536
6464a;1850;1.060783611
6364c;1850;1.123639605
7164d;1850;1.142930791
7164b;1850;0.858017319
7064d;1850;0.610132663
7064b;1850;0.45727401
6964d;1850;0.454756227
6964b;1850;1.087528572
6864d;1850;1.013781257
6864b;1850;0.92648306
6764d;1850;0.833393205
6764b;1850;1.022617178
6664d;1850;1.055852095
6664b;1850;1.112510867
6564d;1850;1.072676068
6564b;1850;1.093703291
6464d;1850;1.148644006
6464b;1850;1.059452323
6364d;1850;1.036373755
7165c;1850;0.980838012
7165a;1850;1.079650915
7065c;1850;1.079467278
7065a;1850;1.126702635
6965c;1850;0.936302007
6965a;1850;0.523219133
6865c;1850;1.094602736
6865a;1850;1.124108966
6765c;1850;1.173834989
6765a;1850;1.054962356
6665c;1850;1.040620098
6665a;1850;1.094489471
6565c;1850;0.992025514
6565a;1850;1.050092572
6465c;1850;1.174785027
6465a;1850;1.115287559
6365c;1850;1.0466832
7165d;1850;1.132452168
7165b;1850;1.399341422
7065d;1850;1.304951214
7065b;1850;1.112816087
6965d;1850;1.284313532
6965b;1850;1.177405878
6865d;1850;1.051169688
6865b;1850;1.12364519
6765d;1850;1.119542177
6765b;1850;0.720187787
6665d;1850;0.741212688
6665b;1850;1.045734291
6565d;1850;1.017275949
6565b;1850;1.103385736
6465d;1850;0.990151805
6465b;1850;1.021601158
6365d;1850;1.048488038
7266a;1850;1.268492339
7166c;1850;1.06240194
7166a;1850;1.339761785
7066c;1850;1.102867034
7066a;1850;1.124077658
6966c;1850;0.619703281
6966a;1850;0.75092172
6866c;1850;0.631526988
6866a;1850;0.478357041
6766c;1850;1.01673944
6766a;1850;0.816423409
6666c;1850;0.863404429
6666a;1850;0.988646759
6566c;1850;1.04929286
6566a;1850;0.971893029
6466c;1850;1.09318485
6466a;1850;0.953593213
6366c;1850;0.946967114
7266d;1850;1.232414397
7266b;1850;1.284159029
7166d;1850;1.185575485
7166b;1850;0.882983961
7066d;1850;1.101676241
7066b;1850;1.315911507
6966d;1850;0.776362702
6966b;1850;0.498208577
6866d;1850;0.597603532
6866b;1850;0.503577205
6766d;1850;1.078555516
6766b;1850;0.625272241
6666d;1850;0.818110247
6666b;1850;1.045084154
6566d;1850;0.926692983
6566b;1850;0.928056317
6466d;1850;1.11257248
6466b;1850;1.096134612
6366d;1850;0.957449204
7267c;1850;0.964202794
7267a;1850;1.278174481
7167c;1850;0.964743958
7167a;1850;1.022074563
7067c;1850;1.151308346
7067a;1850;1.106153678
6967c;1850;1.044478522
6967a;1850;1.122064222
6867c;1850;0.64198863
6867a;1850;0.561004118
6767c;1850;1.03150354
6767a;1850;0.735159397
6667c;1850;0.7669394
6667a;1850;0.992657036
6567c;1850;1.039727697
6567a;1850;1.011094686
6467c;1850;1.084330114
6467a;1850;1.079433683
6367c;1850;0.963100974
7367b;1850;0.520042006
7267d;1850;1.183365093
7267b;1850;0.702202342
7167d;1850;0.670462773
7167b;1850;1.073188178
7067d;1850;1.02175419
7067b;1850;1.100068928
6967d;1850;0.785988693
6967b;1850;0.926970495
6867d;1850;1.026548179
6867b;1850;0.689986086
6767d;1850;0.363298648
6767b;1850;0.989984057
6667d;1850;0.892539501
6667b;1850;0.135233682
6567d;1850;0.240243832
6567b;1850;0.963018822
6467d;1850;1.078931365
6467b;1850;0.961300069
6367d;1850;0.961927928
7268a;1850;1.211093997
7168c;1850;0.873179992
7168a;1850;1.408017621
7068c;1850;1.236441088
7068a;1850;0.667505961
6968c;1850;1.170431748
6968a;1850;1.186454731
6868c;1850;1.015524217
6868a;1850;0.720897905
6768c;1850;0.921080296
6768a;1850;0.474519679
6668c;1850;0.82319996
6668a;1850;1.087888493
6568c;1850;1.152785866
6568a;1850;0.852272013
6468c;1850;0.7896838
6468a;1850;0.998970689
6368c;1850;0.939270051
7168b;1850;1.137104521
7068d;1850;1.101787668
7068b;1850;0.850512337
6968d;1850;0.865297444
6968b;1850;1.079957239
6868d;1850;1.063368333
6868b;1850;0.851355734
6768d;1850;0.882871483
6768b;1850;0.619769591
6668d;1850;0.461960812
6668b;1850;0.42754374
6568d;1850;0.530062774
6568b;1850;0.661344996
6468d;1850;0.445067053
6468b;1850;0.668271074
6368d;1850;0.304791268
7169a;1850;1.090819696
7069c;1850;1.055922616
7069a;1850;1.222511772
6969c;1850;0.912549746
6969a;1850;0.927236974
6869c;1850;1.11375467
6869a;1850;1.029716485
6769c;1850;1.047601397
6769a;1850;0.565822418
6669c;1850;0.769072115
6669a;1850;0.31364152
6569c;1850;0.625899487
6569a;1850;0.582226742
6469c;1850;0.523946149
6469a;1850;0.435004149
6369c;1850;0.904915792
7169b;1850;1.32351804
7069d;1850;0.841313925
7069b;1850;1.447390012
6969d;1850;1.025559987
6969b;1850;1.221428876
6869d;1850;0.728999252
6869b;1850;1.011392023
6769d;1850;0.729523272
6769b;1850;0.969899562
6669d;1850;0.8673273
6669b;1850;1.167380873
6569d;1850;1.123810106
6569b;1850;0.930878927
6469d;1850;1.094394959
6469b;1850;0.872388263
6369d;1850;0.919331319
7170c;1850;0.599450856
7170a;1850;1.253783528
7070c;1850;1.04608409
7070a;1850;1.258951176
6970c;1850;1.421891928
6970a;1850;0.895792515
6870c;1850;1.094465484
6870a;1850;0.575654475
6770c;1850;1.030733647
6770a;1850;0.88172859
6670c;1850;1.265607211
6670a;1850;1.202588748
6570c;1850;1.018707226
6570a;1850;0.714610192
6470c;1850;0.804126281
6470a;1850;0.62456582
6370c;1850;1.103693046
7170b;1850;1.133818118
7070d;1850;1.082720025
7070b;1850;0.846350965
